City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Karonga,MW,-9.9333,33.9333,79.27,53,19,11.59,few clouds
301,Harwich,GB,51.9419,1.2844,70.36,69,100,11.01,overcast clouds
302,Saskylakh,RU,71.9167,114.0833,33.17,99,100,5.03,light snow
303,Kijang,KR,35.2442,129.2139,65.93,52,73,10.89,broken clouds
304,Kasama,ZM,-10.2129,31.1808,75.69,45,11,8.08,few clouds
305,Moosburg,DE,48.4667,11.9333,72.81,61,20,9.22,light intensity shower rain
306,Salalah,OM,17.0151,54.0924,87.89,70,20,12.66,few clouds
307,Posse,BR,-14.0931,-46.3694,81.25,43,92,0.69,overcast clouds
308,Morant Bay,JM,17.8815,-76.4093,80.22,84,100,10.02,overcast clouds
309,Grand Forks,US,47.9417,-97.4337,40.78,87,0,6.91,clear sky
310,Saint George,US,37.1041,-113.5841,67.24,17,0,10.36,clear sky
311,Colares,PT,38.7992,-9.4469,69.48,85,75,16.11,mist
312,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,20,10.36,few clouds
313,Bykovo,RU,55.6361,38.0803,55.42,66,75,17.9,light intensity shower rain
314,Pasighat,IN,28.0667,95.3333,71.02,98,100,3.02,light rain
315,Maxixe,MZ,-23.8597,35.3472,78.62,65,40,11.5,scattered clouds
316,Senanga,ZM,-16.1167,23.2667,79.09,23,0,10.76,clear sky
317,Gari,RU,59.4307,62.3497,64.53,39,78,3.4,broken clouds
318,Ilulissat,GL,69.2167,-51.1,28.42,50,0,3.44,clear sky
319,Bilibino,RU,68.0546,166.4372,32.34,94,87,0.85,overcast clouds
320,Foz,ES,43.5692,-7.2544,72.72,52,100,5.53,overcast clouds
321,Jabinyanah,TN,35.035,10.9081,87.6,45,17,12.19,few clouds
322,Alice Springs,AU,-23.7,133.8833,65.75,42,40,6.91,scattered clouds
323,Roald,NO,62.5833,6.1333,57.16,57,0,24.16,clear sky
324,Berlevag,NO,70.8578,29.0864,39.2,75,100,20.71,overcast clouds
325,Kaeo,NZ,-35.1,173.7833,64.33,93,61,6.26,broken clouds
326,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,62.26,98,100,5.57,overcast clouds
327,Ca Mau,VN,9.1769,105.15,83.39,75,82,6.26,moderate rain
328,La Ronge,CA,55.1001,-105.2842,32.25,93,100,3.44,overcast clouds
329,Leshukonskoye,RU,64.8989,45.7622,50.29,44,15,10.25,few clouds
330,San-Pedro,CI,4.7485,-6.6363,81.9,82,94,7.02,light rain
331,Tadine,NC,-21.55,167.8833,73.96,81,14,13.62,few clouds
332,Lompoc,US,34.6391,-120.4579,55.63,85,100,25.01,mist
333,Cabo San Lucas,MX,22.8909,-109.9124,74.5,65,89,11.77,overcast clouds
334,Victoria,HK,22.2855,114.1577,71.33,84,99,8.99,overcast clouds
335,Taltal,CL,-25.4,-70.4833,60.13,70,62,5.41,broken clouds
336,Sangar,RU,63.9242,127.4739,32.16,96,98,3.13,overcast clouds
337,Argelia,CO,2.2556,-77.2488,66.43,95,98,0.49,overcast clouds
338,Cayeli,TR,41.0923,40.7292,61.95,69,95,5.01,overcast clouds
339,Erzurum,TR,40.0,41.5,51.48,57,100,7.54,overcast clouds
340,Pahrump,US,36.2083,-115.9839,69.26,26,3,5.01,clear sky
341,Natal,BR,-5.795,-35.2094,79.45,100,75,9.22,broken clouds
342,Badou,TG,7.5833,0.6,92.82,47,90,2.75,overcast clouds
343,Isangel,VU,-19.55,169.2667,76.08,81,59,14.76,broken clouds
